"응답자특성별(1)","응답자특성별(2)","시점",성별(1),분석대상자수 (명),흡연율 (%),표준오차
"지역별","대구","2019",전체,2965,6.0,0.6
"지역별","대구","2019",남학생,1612,8.7,1.2
"지역별","대구","2019",여학생,1353,2.9,0.8
"지역별","대구","2020",전체,2767,2.6,0.5
"지역별","대구","2020",남학생,1577,4.3,0.9
"지역별","대구","2020",여학생,1190,0.9,0.2
"지역별","대구","2021",전체,2929,4.6,0.6
"지역별","대구","2021",남학생,1471,6.9,1.1
"지역별","대구","2021",여학생,1458,2.1,0.6
"지역별","대구","2022",전체,2550,3.2,0.5
"지역별","대구","2022",남학생,1370,4.4,0.7
"지역별","대구","2022",여학생,1180,1.8,0.4
"지역별","대구","2023",전체,2642,3.7,0.5
"지역별","대구","2023",남학생,1411,4.4,0.7
"지역별","대구","2023",여학생,1231,2.8,0.7
"지역별","인천","2014",전체,4120,8.9,1.3
"지역별","인천","2014",남학생,2091,13.6,2.1
"지역별","인천","2014",여학생,2029,3.9,1.1
"지역별","인천","2015",전체,3847,7.3,1.0
"지역별","인천","2015",남학생,2104,11.2,1.5
"지역별","인천","2015",여학생,1743,3.1,0.9
"지역별","인천","2016",전체,3724,5.7,0.7
"지역별","인천","2016",남학생,1971,9.1,1.1
"지역별","인천","2016",여학생,1753,2.0,0.5
"지역별","인천","2017",전체,3431,6.0,1.0
"지역별","인천","2017",남학생,1809,9.0,1.6
"지역별","인천","2017",여학생,1622,2.7,0.8
"지역별","인천","2018",전체,3398,6.8,0.9
"지역별","인천","2018",남학생,1802,9.9,1.6
"지역별","인천","2018",여학생,1596,3.5,0.8
"지역별","인천","2019",전체,3241,7.1,0.8
"지역별","인천","2019",남학생,1812,10.2,1.4
"지역별","인천","2019",여학생,1429,3.8,1.3
"지역별","인천","2020",전체,3020,4.3,0.7
"지역별","인천","2020",남학생,1632,6.8,1.2
"지역별","인천","2020",여학생,1388,1.7,0.4
"지역별","인천","2021",전체,3181,4.2,0.5
"지역별","인천","2021",남학생,1628,5.8,0.8
"지역별","인천","2021",여학생,1553,2.5,0.4
"지역별","인천","2022",전체,2873,3.3,0.6
"지역별","인천","2022",남학생,1449,4.6,0.8
"지역별","인천","2022",여학생,1424,1.9,0.5
"지역별","인천","2023",전체,2927,4.9,0.7
"지역별","인천","2023",남학생,1543,6.4,1.0
"지역별","인천","2023",여학생,1384,3.3,0.9
"지역별","광주","2014",전체,3072,9.6,1.8
"지역별","광주","2014",남학생,1544,14.7,3.1
"지역별","광주","2014",여학생,1528,4.1,0.9
"지역별","광주","2015",전체,2850,10.1,1.6
"지역별","광주","2015",남학생,1364,14.4,2.4
"지역별","광주","2015",여학생,1486,5.5,1.3
"지역별","광주","2016",전체,2676,7.1,1.5
"지역별","광주","2016",남학생,1310,11.3,2.0
"지역별","광주","2016",여학생,1366,2.7,0.6
"지역별","광주","2017",전체,2441,7.1,1.0
"지역별","광주","2017",남학생,1156,10.5,1.3
"지역별","광주","2017",여학생,1285,3.6,0.8
"지역별","광주","2018",전체,2441,8.4,1.3
"지역별","광주","2018",남학생,1148,12.8,1.8
"지역별","광주","2018",여학생,1293,3.7,0.6
"지역별","광주","2019",전체,2296,6.5,0.6
"지역별","광주","2019",남학생,1109,8.3,0.8
"지역별","광주","2019",여학생,1187,4.6,0.7
"지역별","광주","2020",전체,2069,5.7,0.8
"지역별","광주","2020",남학생,986,6.2,1.3
"지역별","광주","2020",여학생,1083,5.2,0.9
"지역별","광주","2021",전체,2197,6.7,0.7
"지역별","광주","2021",남학생,1106,8.3,1.0
"지역별","광주","2021",여학생,1091,5.1,0.9
"지역별","광주","2022",전체,2015,7.0,0.7
"지역별","광주","2022",남학생,1052,9.9,1.2
"지역별","광주","2022",여학생,963,3.9,0.5
"지역별","광주","2023",전체,2091,5.2,0.9
"지역별","광주","2023",남학생,908,6.8,1.5
"지역별","광주","2023",여학생,1183,3.5,0.5
"지역별","대전","2014",전체,2966,8.5,1.1
"지역별","대전","2014",남학생,1454,12.7,1.5
"지역별","대전","2014",여학생,1512,4.0,1.0
"지역별","대전","2015",전체,2656,7.0,1.1
"지역별","대전","2015",남학생,1321,11.3,1.6
"지역별","대전","2015",여학생,1335,2.4,0.5
"지역별","대전","2016",전체,2682,6.2,1.1
"지역별","대전","2016",남학생,1360,9.6,1.3
"지역별","대전","2016",여학생,1322,2.5,0.6
"지역별","대전","2017",전체,2377,5.1,0.8
"지역별","대전","2017",남학생,1248,6.9,1.2
"지역별","대전","2017",여학생,1129,3.2,1.0
"지역별","대전","2018",전체,2273,5.9,1.1
"지역별","대전","2018",남학생,1217,8.6,1.7
"지역별","대전","2018",여학생,1056,2.9,0.5
"지역별","대전","2019",전체,2184,6.8,0.9
"지역별","대전","2019",남학생,1218,9.3,1.2
"지역별","대전","2019",여학생,966,4.0,0.9
"지역별","대전","2020",전체,2069,4.5,0.6
"지역별","대전","2020",남학생,1127,6.0,0.8
"지역별","대전","2020",여학생,942,2.8,0.7
"지역별","대전","2021",전체,2101,4.6,0.9
"지역별","대전","2021",남학생,1155,6.6,1.5
"지역별","대전","2021",여학생,946,2.4,0.4
"지역별","대전","2022",전체,1769,3.9,0.5
"지역별","대전","2022",남학생,983,5.0,0.6
"지역별","대전","2022",여학생,786,2.7,0.6
"지역별","대전","2023",전체,1853,4.3,0.6
"지역별","대전","2023",남학생,891,6.4,1.0
"지역별","대전","2023",여학생,962,2.1,0.5
"지역별","울산","2014",전체,2449,10.2,1.3
"지역별","울산","2014",남학생,1179,14.6,1.9
"지역별","울산","2014",여학생,1270,5.2,0.8
"지역별","울산","2015",전체,2218,9.7,2.3
"지역별","울산","2015",남학생,997,14.7,2.5
"지역별","울산","2015",여학생,1221,4.1,1.8
"지역별","울산","2016",전체,2114,5.1,0.8
"지역별","울산","2016",남학생,1080,7.9,0.9
"지역별","울산","2016",여학생,1034,1.9,0.5
"지역별","울산","2017",전체,2121,7.5,1.5
"지역별","울산","2017",남학생,1014,11.9,2.2
"지역별","울산","2017",여학생,1107,2.7,0.7
"지역별","울산","2018",전체,1943,7.5,0.9
"지역별","울산","2018",남학생,1043,10.1,1.4
"지역별","울산","2018",여학생,900,4.6,0.8
"지역별","울산","2019",전체,1844,7.9,1.3
"지역별","울산","2019",남학생,1070,10.9,2.0
"지역별","울산","2019",여학생,774,4.6,1.3
"지역별","울산","2020",전체,1779,5.0,1.5
"지역별","울산","2020",남학생,975,6.2,1.3
"지역별","울산","2020",여학생,804,3.8,1.8
"지역별","울산","2021",전체,1774,3.7,0.9
"지역별","울산","2021",남학생,971,5.4,1.5
"지역별","울산","2021",여학생,803,1.9,0.5
"지역별","울산","2022",전체,1741,4.9,0.6
"지역별","울산","2022",남학생,787,6.8,1.2
"지역별","울산","2022",여학생,954,2.7,0.8
"지역별","울산","2023",전체,1664,4.5,0.7
"지역별","울산","2023",남학생,818,5.8,1.0
"지역별","울산","2023",여학생,846,3.0,0.6
"지역별","세종","2014",전체,-,-,-
"지역별","세종","2014",남학생,-,-,-
"지역별","세종","2014",여학생,-,-,-
"지역별","세종","2015",전체,935,6.6,1.3
"지역별","세종","2015",남학생,495,10.8,1.8
"지역별","세종","2015",여학생,440,2.2,0.6
"지역별","세종","2016",전체,1012,6.3,1.1
"지역별","세종","2016",남학생,518,10.3,2.0
"지역별","세종","2016",여학생,494,2.3,0.6
"지역별","세종","2017",전체,932,4.9,1.2
"지역별","세종","2017",남학생,428,7.9,1.7
"지역별","세종","2017",여학생,504,1.9,0.5
"지역별","세종","2018",전체,944,6.5,1.2
"지역별","세종","2018",남학생,482,7.9,1.4
"지역별","세종","2018",여학생,462,5.1,1.6
"지역별","세종","2019",전체,956,5.3,0.7
"지역별","세종","2019",남학생,502,8.1,1.2
"지역별","세종","2019",여학생,454,2.5,0.5
"지역별","세종","2020",전체,900,4.2,1.3
"지역별","세종","2020",남학생,475,5.7,2.2
"지역별","세종","2020",여학생,425,2.6,1.0
"지역별","세종","2021",전체,802,4.6,1.2
"지역별","세종","2021",남학생,342,6.6,2.0
"지역별","세종","2021",여학생,460,2.6,0.8
"지역별","세종","2022",전체,1045,4.7,0.8
"지역별","세종","2022",남학생,528,7.5,1.5
"지역별","세종","2022",여학생,517,1.8,0.6
"지역별","세종","2023",전체,1097,3.0,0.4
"지역별","세종","2023",남학생,547,4.7,0.8
"지역별","세종","2023",여학생,550,1.3,0.4
"지역별","경기","2014",전체,15158,8.9,0.4
"지역별","경기","2014",남학생,7312,13.1,0.6
"지역별","경기","2014",여학생,7846,4.4,0.3
"지역별","경기","2015",전체,14352,8.1,0.5
"지역별","경기","2015",남학생,7232,12.1,0.7
"지역별","경기","2015",여학생,7120,3.7,0.4
"지역별","경기","2016",전체,13990,6.3,0.5
"지역별","경기","2016",남학생,7076,9.1,0.6
"지역별","경기","2016",여학생,6914,3.3,0.4
"지역별","경기","2017",전체,13465,6.7,0.4
"지역별","경기","2017",남학생,6854,9.6,0.6
"지역별","경기","2017",여학생,6611,3.7,0.3
"지역별","경기","2018",전체,12798,6.8,0.4
"지역별","경기","2018",남학생,6364,9.1,0.5
"지역별","경기","2018",여학생,6434,4.4,0.3
"지역별","경기","2019",전체,12360,7.2,0.4
"지역별","경기","2019",남학생,6254,9.3,0.5
"지역별","경기","2019",여학생,6106,4.9,0.4
"지역별","경기","2020",전체,12236,4.2,0.3
"지역별","경기","2020",남학생,6297,5.6,0.4
"지역별","경기","2020",여학생,5939,2.7,0.3
"지역별","경기","2021",전체,11946,4.4,0.3
"지역별","경기","2021",남학생,6087,5.7,0.4
"지역별","경기","2021",여학생,5859,3.0,0.3
"지역별","경기","2022",전체,11651,4.6,0.3
